country,fortnight,date,estimated rotavirus positive eligible
The Gambia,0,12-10-2007,2.972222
The Gambia,1,12-24-2007,12.12587
The Gambia,2,01-07-2008,35.5
The Gambia,3,01-21-2008,34.39091
The Gambia,4,02-04-2008,24.93333
The Gambia,5,02-18-2008,7.166667
The Gambia,6,03-03-2008,3.666667
The Gambia,7,03-17-2008,0
The Gambia,8,03-31-2008,3.2
The Gambia,9,04-14-2008,3
The Gambia,10,04-28-2008,4.8
The Gambia,11,05-12-2008,10.83333
The Gambia,12,05-26-2008,13.78846
The Gambia,13,06-09-2008,12.82143
The Gambia,14,06-23-2008,7
The Gambia,15,07-07-2008,0
The Gambia,16,07-21-2008,0
The Gambia,17,08-04-2008,0
The Gambia,18,08-18-2008,0
The Gambia,19,09-01-2008,0
The Gambia,20,09-15-2008,0
The Gambia,21,09-29-2008,0
The Gambia,22,10-13-2008,0
The Gambia,23,10-27-2008,0
The Gambia,24,11-10-2008,0
The Gambia,25,11-24-2008,0
The Gambia,26,12-08-2008,0
The Gambia,27,12-22-2008,0
The Gambia,28,01-05-2009,6.05
The Gambia,29,01-19-2009,26.85714
The Gambia,30,02-02-2009,50.73333
The Gambia,31,02-16-2009,22.5
The Gambia,32,03-02-2009,30.6
The Gambia,33,03-16-2009,1.75
The Gambia,34,03-30-2009,5.355769
The Gambia,35,04-13-2009,1.3
The Gambia,36,04-27-2009,0
The Gambia,37,05-11-2009,0
The Gambia,38,05-25-2009,0
The Gambia,39,06-08-2009,0
The Gambia,40,06-22-2009,0
The Gambia,41,07-06-2009,0
The Gambia,42,07-20-2009,0
The Gambia,43,08-03-2009,0
The Gambia,44,08-17-2009,0
The Gambia,45,08-31-2009,0
The Gambia,46,09-14-2009,0
The Gambia,47,09-28-2009,0
The Gambia,48,10-12-2009,0
The Gambia,49,10-26-2009,0
The Gambia,50,11-09-2009,0
The Gambia,51,11-23-2009,0
The Gambia,52,12-07-2009,0
The Gambia,53,12-21-2009,3.2
The Gambia,54,01-04-2010,14.22115
The Gambia,55,01-18-2010,26.36364
The Gambia,56,02-01-2010,36.80952
The Gambia,57,02-15-2010,12.5
The Gambia,58,03-01-2010,4.666667
The Gambia,59,03-15-2010,2
The Gambia,60,03-29-2010,1
The Gambia,61,04-12-2010,3
The Gambia,62,04-26-2010,4.666667
The Gambia,63,05-10-2010,2
The Gambia,64,05-24-2010,1.333333
The Gambia,65,06-07-2010,4.2
The Gambia,66,06-21-2010,5.5
The Gambia,67,07-05-2010,0
The Gambia,68,07-19-2010,0
The Gambia,69,08-02-2010,0
The Gambia,70,08-16-2010,0
The Gambia,71,08-30-2010,0
The Gambia,72,09-13-2010,0
The Gambia,73,09-27-2010,0
The Gambia,74,10-11-2010,0
The Gambia,75,10-25-2010,0
The Gambia,76,11-08-2010,0
The Gambia,77,11-22-2010,3
The Gambia,78,12-06-2010,1.5
The Gambia,79,12-20-2010,0
Mali,0,12-17-2007,4
Mali,1,12-31-2007,2
Mali,2,01-14-2008,5.4
Mali,3,01-28-2008,2.733333
Mali,4,02-11-2008,4.333333
Mali,5,02-25-2008,1.2
Mali,6,03-10-2008,0
Mali,7,03-24-2008,0
Mali,8,04-07-2008,0
Mali,9,04-21-2008,0
Mali,10,05-05-2008,0
Mali,11,05-19-2008,0
Mali,12,06-02-2008,0
Mali,13,06-16-2008,0
Mali,14,06-30-2008,0
Mali,15,07-14-2008,0
Mali,16,07-28-2008,8.533333
Mali,17,08-11-2008,5.266667
Mali,18,08-25-2008,18.90476
Mali,19,09-08-2008,29.8
Mali,20,09-22-2008,25.52381
Mali,21,10-06-2008,15.66667
Mali,22,10-20-2008,11.88889
Mali,23,11-03-2008,15.55556
Mali,24,11-17-2008,44.11111
Mali,25,12-01-2008,47.22222
