country,fortnight,date,estimated rotavirus positive eligible
Mali,26,12-15-2008,56.55556
Mali,27,12-29-2008,10.22222
Mali,28,01-12-2009,12.66667
Mali,29,01-26-2009,17.44444
Mali,30,02-09-2009,3.333333
Mali,31,02-23-2009,3.111111
Mali,32,03-09-2009,1.666667
Mali,33,03-23-2009,0
Mali,34,04-06-2009,1.111111
Mali,35,04-20-2009,0
Mali,36,05-04-2009,3.333333
Mali,37,05-18-2009,0
Mali,38,06-01-2009,0
Mali,39,06-15-2009,0
Mali,40,06-29-2009,2
Mali,41,07-13-2009,0
Mali,42,07-27-2009,5.766667
Mali,43,08-10-2009,2.888889
Mali,44,08-24-2009,0
Mali,45,09-07-2009,14.46667
Mali,46,09-21-2009,9.777778
Mali,47,10-05-2009,17.66667
Mali,48,10-19-2009,9.8
Mali,49,11-02-2009,17.6
Mali,50,11-16-2009,15.62222
Mali,51,11-30-2009,20.33333
Mali,52,12-14-2009,21.11111
Mali,53,12-28-2009,14.52778
Mali,54,01-11-2010,12.88889
Mali,55,01-25-2010,2.888889
Mali,56,02-08-2010,1.111111
Mali,57,02-22-2010,1.333333
Mali,58,03-08-2010,0
Mali,59,03-22-2010,2.666667
Mali,60,04-05-2010,1.5
Mali,61,04-19-2010,1.222222
Mali,62,05-03-2010,2.333333
Mali,63,05-17-2010,0
Mali,64,05-31-2010,1.222222
Mali,65,06-14-2010,0
Mali,66,06-28-2010,0
Mali,67,07-12-2010,0
Mali,68,07-26-2010,4.444444
Mali,69,08-09-2010,6.422222
Mali,70,08-23-2010,3.822222
Mali,71,09-06-2010,4.644444
Mali,72,09-20-2010,9.777778
Mali,73,10-04-2010,4.666667
Mali,74,10-18-2010,5.777778
Mali,75,11-01-2010,5.333333
Mali,76,11-15-2010,13.55556
Mali,77,11-29-2010,22
Mali,78,12-13-2010,4
Mozambique,0,12-10-2007,10.83333
Mozambique,1,12-24-2007,1.888889
Mozambique,2,01-07-2008,0
Mozambique,3,01-21-2008,1.818182
Mozambique,4,02-04-2008,7.1875
Mozambique,5,02-18-2008,0
Mozambique,6,03-03-2008,2.470588
Mozambique,7,03-17-2008,4.95
Mozambique,8,03-31-2008,15.09091
Mozambique,9,04-14-2008,7.75
Mozambique,10,04-28-2008,6
Mozambique,11,05-12-2008,10.07143
Mozambique,12,05-26-2008,9.333333
Mozambique,13,06-09-2008,11.5
Mozambique,14,06-23-2008,10
Mozambique,15,07-07-2008,12
Mozambique,16,07-21-2008,14.125
Mozambique,17,08-04-2008,3
Mozambique,18,08-18-2008,1
Mozambique,19,09-01-2008,2.4
Mozambique,20,09-15-2008,2.666667
Mozambique,21,09-29-2008,2.4
Mozambique,22,10-13-2008,3.333333
Mozambique,23,10-27-2008,0
Mozambique,24,11-10-2008,10.33333
Mozambique,25,11-24-2008,0
Mozambique,26,12-08-2008,2.25
Mozambique,27,12-22-2008,0
Mozambique,28,01-05-2009,2.6
Mozambique,29,01-19-2009,0
Mozambique,30,02-02-2009,0
Mozambique,31,02-16-2009,0
Mozambique,32,03-02-2009,0
Mozambique,33,03-16-2009,0
Mozambique,34,03-30-2009,0
Mozambique,35,04-13-2009,NA
Mozambique,36,04-27-2009,0
Mozambique,37,05-11-2009,0
Mozambique,38,05-25-2009,8.888889
Mozambique,39,06-08-2009,24.75
Mozambique,40,06-22-2009,26
Mozambique,41,07-06-2009,7.5
Mozambique,42,07-20-2009,6
Mozambique,43,08-03-2009,0
Mozambique,44,08-17-2009,2
Mozambique,45,08-31-2009,1
Mozambique,46,09-14-2009,0
Mozambique,47,09-28-2009,7
Mozambique,48,10-12-2009,9.5
Mozambique,49,10-26-2009,7.771429
Mozambique,50,11-09-2009,11.25
Mozambique,51,11-23-2009,4
Mozambique,52,12-07-2009,7.5
Mozambique,53,12-21-2009,11.33333
Mozambique,54,01-04-2010,2
Mozambique,55,01-18-2010,2.285714
Mozambique,56,02-01-2010,2.25
Mozambique,57,02-15-2010,9.1
Mozambique,58,03-01-2010,2
Mozambique,59,03-15-2010,6.2
Mozambique,60,03-29-2010,3.5
Mozambique,61,04-12-2010,4
Mozambique,62,04-26-2010,2
Mozambique,63,05-10-2010,5.5
Mozambique,64,05-24-2010,0
Mozambique,65,06-07-2010,7.2
Mozambique,66,06-21-2010,3
Mozambique,67,07-05-2010,6
Mozambique,68,07-19-2010,0
Mozambique,69,08-02-2010,0
Mozambique,70,08-16-2010,1.666667
Mozambique,71,08-30-2010,0
Mozambique,72,09-13-2010,0
Mozambique,73,09-27-2010,0
Mozambique,74,10-11-2010,4.5
Mozambique,75,10-25-2010,2
Mozambique,76,11-08-2010,1.5
Mozambique,77,11-22-2010,7.333333
Mozambique,78,12-06-2010,6.5
Mozambique,79,12-20-2010,5
Mozambique,80,01-03-2011,NA
Mozambique,81,01-17-2011,NA
Mozambique,82,01-31-2011,NA
Mozambique,83,02-14-2011,NA
Mozambique,84,02-28-2011,NA
Mozambique,85,03-14-2011,NA
Mozambique,86,03-28-2011,NA
Mozambique,87,04-11-2011,NA
Mozambique,88,04-25-2011,NA
Mozambique,89,05-09-2011,NA
Mozambique,90,05-23-2011,NA
Mozambique,91,06-06-2011,NA
Mozambique,92,06-20-2011,NA
Kenya,0,01-31-2008,12.95238
Kenya,1,02-14-2008,24.43506
Kenya,2,02-28-2008,12.74107
Kenya,3,03-13-2008,1.714286
Kenya,4,03-27-2008,2.5
Kenya,5,04-10-2008,0
Kenya,6,04-24-2008,0
Kenya,7,05-08-2008,1.210526
Kenya,8,05-22-2008,1.1
Kenya,9,06-05-2008,1.25
Kenya,10,06-19-2008,0
Kenya,11,07-03-2008,3.409091
Kenya,12,07-17-2008,2.5
Kenya,13,07-31-2008,1.166667
Kenya,14,08-14-2008,1.857143
Kenya,15,08-28-2008,11.53175
Kenya,16,09-11-2008,3.222222
Kenya,17,09-25-2008,7.5
Kenya,18,10-09-2008,1.142857
Kenya,19,10-23-2008,4.611111
Kenya,20,11-06-2008,7.737374
Kenya,21,11-20-2008,9.2
Kenya,22,12-04-2008,6.380952
Kenya,23,12-18-2008,6.458333
Kenya,24,01-01-2009,9.095238
Kenya,25,01-15-2009,9
Kenya,26,01-29-2009,9.086538
Kenya,27,02-12-2009,7.5
Kenya,28,02-26-2009,5.952381
Kenya,29,03-12-2009,1.375
Kenya,30,03-26-2009,6.011111
Kenya,31,04-09-2009,1
Kenya,32,04-23-2009,0
Kenya,33,05-07-2009,2.5
Kenya,34,05-21-2009,1
Kenya,35,06-04-2009,0
Kenya,36,06-18-2009,0
Kenya,37,07-02-2009,3.208333
Kenya,38,07-16-2009,2.333333
Kenya,39,07-30-2009,6.214286
Kenya,40,08-13-2009,5.555556
Kenya,41,08-27-2009,11.11429
Kenya,42,09-10-2009,7.2
Kenya,43,09-24-2009,3.833333
Kenya,44,10-08-2009,2
Kenya,45,10-22-2009,1.555556
Kenya,46,11-05-2009,4
Kenya,47,11-19-2009,3.833333
Kenya,48,12-03-2009,1.1
Kenya,49,12-17-2009,1
Kenya,50,12-31-2009,1
Kenya,51,01-14-2010,1.428571
Kenya,52,01-28-2010,0
Kenya,53,02-11-2010,2.811111
Kenya,54,02-25-2010,7.013636
Kenya,55,03-11-2010,1.333333
Kenya,56,03-25-2010,2
Kenya,57,04-08-2010,4.7
Kenya,58,04-22-2010,3.2
Kenya,59,05-06-2010,1.285714
Kenya,60,05-20-2010,2
Kenya,61,06-03-2010,1
Kenya,62,06-17-2010,2
Kenya,63,07-01-2010,4.333333
Kenya,64,07-15-2010,1
Kenya,65,07-29-2010,5
Kenya,66,08-12-2010,8.927273
Kenya,67,08-26-2010,7.25
Kenya,68,09-09-2010,2
Kenya,69,09-23-2010,1.5
Kenya,70,10-07-2010,1.222222
Kenya,71,10-21-2010,4
Kenya,72,11-04-2010,0
Kenya,73,11-18-2010,1
Kenya,74,12-02-2010,0
Kenya,75,12-16-2010,8.333333
Kenya,76,12-30-2010,6.666667
Kenya,77,01-13-2011,4
Kenya,78,01-27-2011,4.4
India,0,12-01-2007,15.71212
India,1,12-15-2007,20.25
India,2,12-29-2007,16.27273
India,3,01-12-2008,17.44286
India,4,01-26-2008,10.32727
India,5,02-09-2008,13.63636
India,6,02-23-2008,8.625
India,7,03-08-2008,4.733333
India,8,03-22-2008,0
India,9,04-05-2008,2.4
India,10,04-19-2008,2.5
India,11,05-03-2008,3.5
India,12,05-17-2008,3.785714
India,13,05-31-2008,3
India,14,06-14-2008,3.857143
India,15,06-28-2008,6.333333
India,16,07-12-2008,6.166667
India,17,07-26-2008,4.5
India,18,08-09-2008,6.746032
India,19,08-23-2008,13.52381
India,20,09-06-2008,7.371429
India,21,09-20-2008,9.111111
India,22,10-04-2008,11.21429
India,23,10-18-2008,6.35
India,24,11-01-2008,11.05556
India,25,11-15-2008,13.4
India,26,11-29-2008,15.88889
India,27,12-13-2008,18.68571
India,28,12-27-2008,24.2
India,29,01-10-2009,18.29167
India,30,01-24-2009,15.33333
India,31,02-07-2009,14.77778
India,32,02-21-2009,11.19444
India,33,03-07-2009,5.777778
India,34,03-21-2009,4.628571
India,35,04-04-2009,1.571429
India,36,04-18-2009,1.75
India,37,05-02-2009,0
India,38,05-16-2009,3.75
India,39,05-30-2009,6.445455
India,40,06-13-2009,2.571429
India,41,06-27-2009,0
India,42,07-11-2009,0
India,43,07-25-2009,4.575
India,44,08-08-2009,2.964286
India,45,08-22-2009,1.5
India,46,09-05-2009,11.33333
India,47,09-19-2009,3
India,48,10-03-2009,8.128788
India,49,10-17-2009,3.285714
India,50,10-31-2009,12
India,51,11-14-2009,12.66667
India,52,11-28-2009,11.83333
India,53,12-12-2009,9.888889
India,54,12-26-2009,11.55556
India,55,01-09-2010,13.61111
India,56,01-23-2010,7.111111
India,57,02-06-2010,14.125
India,58,02-20-2010,3.428571
India,59,03-06-2010,3.333333
India,60,03-20-2010,1.444444
India,61,04-03-2010,1
India,62,04-17-2010,2.666667
India,63,05-01-2010,1.111111
India,64,05-15-2010,0
India,65,05-29-2010,2.333333
India,66,06-12-2010,3.666667
India,67,06-26-2010,0
India,68,07-10-2010,1.125
India,69,07-24-2010,4.05
India,70,08-07-2010,12.7619
India,71,08-21-2010,3.555556
India,72,09-04-2010,8.202381
India,73,09-18-2010,13.88889
India,74,10-02-2010,2.888889
India,75,10-16-2010,18.88889
India,76,10-30-2010,4.555556
India,77,11-13-2010,7.722222
India,78,11-27-2010,5.066667
Bangladesh,0,12-02-2007,3.461538
Bangladesh,1,12-16-2007,2.333333
Bangladesh,2,12-30-2007,9.916667
Bangladesh,3,01-13-2008,9.244444
Bangladesh,4,01-27-2008,9.866667
Bangladesh,5,02-10-2008,7.6
Bangladesh,6,02-24-2008,10.40909
Bangladesh,7,03-09-2008,2.363636
Bangladesh,8,03-23-2008,2.315789
Bangladesh,9,04-06-2008,0
Bangladesh,10,04-20-2008,2.75
Bangladesh,11,05-04-2008,0
Bangladesh,12,05-18-2008,2.506944
Bangladesh,13,06-01-2008,0
Bangladesh,14,06-15-2008,1.4
Bangladesh,15,06-29-2008,2.571429
Bangladesh,16,07-13-2008,1.375
Bangladesh,17,07-27-2008,1
Bangladesh,18,08-10-2008,0
Bangladesh,19,08-24-2008,1
Bangladesh,20,09-07-2008,1.666667
Bangladesh,21,09-21-2008,2.2
Bangladesh,22,10-05-2008,7
Bangladesh,23,10-19-2008,2.222222
Bangladesh,24,11-02-2008,5.432692
Bangladesh,25,11-16-2008,4.6
Bangladesh,26,11-30-2008,7
Bangladesh,27,12-14-2008,5
Bangladesh,28,12-28-2008,3.5
Bangladesh,29,01-11-2009,6.9
Bangladesh,30,01-25-2009,4
Bangladesh,31,02-08-2009,11.79798
Bangladesh,32,02-22-2009,6.666667
Bangladesh,33,03-08-2009,7.316667
Bangladesh,34,03-22-2009,6.333333
Bangladesh,35,04-05-2009,3.888889
Bangladesh,36,04-19-2009,2.111111
Bangladesh,37,05-03-2009,0
Bangladesh,38,05-17-2009,0
Bangladesh,39,05-31-2009,1
Bangladesh,40,06-14-2009,0
Bangladesh,41,06-28-2009,0
Bangladesh,42,07-12-2009,0
Bangladesh,43,07-26-2009,0
Bangladesh,44,08-09-2009,0
Bangladesh,45,08-23-2009,1.333333
Bangladesh,46,09-06-2009,0
Bangladesh,47,09-20-2009,0
Bangladesh,48,10-04-2009,1
Bangladesh,49,10-18-2009,4
Bangladesh,50,11-01-2009,5
Bangladesh,51,11-15-2009,1.166667
Bangladesh,52,11-29-2009,3.25
Bangladesh,53,12-13-2009,4.25
Bangladesh,54,12-27-2009,16.125
Bangladesh,55,01-10-2010,8
Bangladesh,56,01-24-2010,3
Bangladesh,57,02-07-2010,6.75
Bangladesh,58,02-21-2010,7.25
Bangladesh,59,03-07-2010,1
Bangladesh,60,03-21-2010,2
Bangladesh,61,04-04-2010,3.970238
Bangladesh,62,04-18-2010,1.125
Bangladesh,63,05-02-2010,3.785714
Bangladesh,64,05-16-2010,1.333333
Bangladesh,65,05-30-2010,2.111111
Bangladesh,66,06-13-2010,1
Bangladesh,67,06-27-2010,0
Bangladesh,68,07-11-2010,1.333333
Bangladesh,69,07-25-2010,4.666667
Bangladesh,70,08-08-2010,0
Bangladesh,71,08-22-2010,0
Bangladesh,72,09-05-2010,8
Bangladesh,73,09-19-2010,4.533333
Bangladesh,74,10-03-2010,1.166667
Bangladesh,75,10-17-2010,5.533333
Bangladesh,76,10-31-2010,4.238095
Bangladesh,77,11-14-2010,3.333333
Bangladesh,78,11-28-2010,0
Pakistan,0,03-03-2008,11.29167
Pakistan,1,03-17-2008,8.1
Pakistan,2,03-31-2008,1.357143
Pakistan,3,04-14-2008,12.5873
Pakistan,4,04-28-2008,4.893939
Pakistan,5,05-12-2008,8.521368
Pakistan,6,05-26-2008,2.615385
Pakistan,7,06-09-2008,2.133333
Pakistan,8,06-23-2008,5.571429
Pakistan,9,07-07-2008,3.642857
Pakistan,10,07-21-2008,9
Pakistan,11,08-04-2008,7
Pakistan,12,08-18-2008,3.296703
Pakistan,13,09-01-2008,3.190476
Pakistan,14,09-15-2008,2.4
Pakistan,15,09-29-2008,0
Pakistan,16,10-13-2008,4
Pakistan,17,10-27-2008,5.666667
Pakistan,18,11-10-2008,7.7
Pakistan,19,11-24-2008,9.357143
Pakistan,20,12-08-2008,6
Pakistan,21,12-22-2008,1.333333
Pakistan,22,01-05-2009,1.125
Pakistan,23,01-19-2009,1
Pakistan,24,02-02-2009,1
Pakistan,25,02-16-2009,6.3
Pakistan,26,03-02-2009,2.366667
Pakistan,27,03-16-2009,0
Pakistan,28,03-30-2009,2
Pakistan,29,04-13-2009,2.181818
Pakistan,30,04-27-2009,1.142857
Pakistan,31,05-11-2009,8.107143
Pakistan,32,05-25-2009,1.166667
Pakistan,33,06-08-2009,1.166667
Pakistan,34,06-22-2009,2.333333
Pakistan,35,07-06-2009,0
Pakistan,36,07-20-2009,6
Pakistan,37,08-03-2009,4.571429
Pakistan,38,08-17-2009,3
Pakistan,39,08-31-2009,0
Pakistan,40,09-14-2009,0
Pakistan,41,09-28-2009,1
Pakistan,42,10-12-2009,1.125
Pakistan,43,10-26-2009,7.428571
Pakistan,44,11-09-2009,8
Pakistan,45,11-23-2009,3
Pakistan,46,12-07-2009,3
Pakistan,47,12-21-2009,4
Pakistan,48,01-04-2010,4.25
Pakistan,49,01-18-2010,2
Pakistan,50,02-01-2010,3
Pakistan,51,02-15-2010,6.875
Pakistan,52,03-01-2010,4.583333
Pakistan,53,03-15-2010,0
Pakistan,54,03-29-2010,2.5
Pakistan,55,04-12-2010,0
Pakistan,56,04-26-2010,0
Pakistan,57,05-10-2010,1.090909
Pakistan,58,05-24-2010,1.4
Pakistan,59,06-07-2010,5
Pakistan,60,06-21-2010,5.342857
Pakistan,61,07-05-2010,2
Pakistan,62,07-19-2010,2
Pakistan,63,08-02-2010,5.142857
Pakistan,64,08-16-2010,1.25
Pakistan,65,08-30-2010,4.666667
Pakistan,66,09-13-2010,3.335664
Pakistan,67,09-27-2010,2
Pakistan,68,10-11-2010,2
Pakistan,69,10-25-2010,5.6
Pakistan,70,11-08-2010,3
Pakistan,71,11-22-2010,7.4
Pakistan,72,12-06-2010,3
Pakistan,73,12-20-2010,5.75
Pakistan,74,01-03-2011,3.742857
Pakistan,75,01-17-2011,2.555556
Pakistan,76,01-31-2011,4.666667
Pakistan,77,02-14-2011,1.181818
Pakistan,78,02-28-2011,0
