STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
673410,99999, 20070101,   71.3,10,   65.5,10, 9999.9, 0, 9999.9, 0,   7.2,10,  17.5,10,  22.9, 999.9,   73.4*,  68.0*, 0.08E,999.9, 010000,
673410,99999, 20070102,   77.6,14,   68.9,14, 1020.8, 5, 9999.9, 0,   8.9,14,  12.9,14,  15.0, 999.9,   81.7 ,  66.0 , 0.47G,999.9, 000000,
673410,99999, 20070103,   79.0,17,   66.5,17, 1017.3, 6, 9999.9, 0,  11.1,17,   9.5,17,  14.0, 999.9,   84.7 ,  73.4*, 0.00G,999.9, 000000,
673410,99999, 20070104,   79.3,20,   70.7,20, 1015.4, 7, 9999.9, 0,  10.2,20,   7.4,19,  20.0, 999.9,   88.0 ,  73.4*,99.99 ,999.9, 010000,
673410,99999, 20070105,   80.9,17,   71.4,17, 1015.7, 6, 9999.9, 0,  11.4,16,   7.8,17,  14.0, 999.9,   87.8*,  73.8 , 0.00I,999.9, 000000,
673410,99999, 20070106,   82.0,18,   72.7,18, 1013.3, 8, 9999.9, 0,  11.7,18,   6.9,18,  14.0, 999.9,   89.6 ,  73.8 , 0.00I,999.9, 000000,
673410,99999, 20070107,   83.2,16,   73.5,16, 1008.7, 6, 9999.9, 0,  10.8,16,   8.0,15,  13.0, 999.9,   90.9 ,  76.8 ,99.99 ,999.9, 010010,
673410,99999, 20070108,   76.9,17,   65.3,17, 1013.6, 6, 9999.9, 0,  10.4,17,  12.9,17,  16.9, 999.9,   82.0*,  70.3 , 0.00G,999.9, 000000,
673410,99999, 20070109,   78.6,19,   67.1,19, 1014.4, 5, 9999.9, 0,  10.7,19,   6.1,19,  12.0, 999.9,   87.1 ,  71.6*, 0.00I,999.9, 000000,
673410,99999, 20070110,   80.7,22,   66.8,22, 1017.0, 8, 9999.9, 0,  11.4,21,   8.7,18,  16.9, 999.9,   89.6*,  70.7 , 0.00I,999.9, 000000,
673410,99999, 20070111,   80.0,19,   69.0,19, 1014.6, 8, 9999.9, 0,  10.5,19,   4.8,18,  12.0, 999.9,   86.0*,  73.2 , 0.02G,999.9, 010000,
673410,99999, 20070112,   80.5,15,   68.1,15, 1012.0, 7, 9999.9, 0,  12.1,15,   9.6,15,  42.9, 999.9,   90.1 ,  73.8 , 0.00G,999.9, 000000,
