STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
428090,99999, 20070101,   65.1, 8,   53.8, 8, 1014.9, 8, 9999.9, 0,   0.9, 8,   0.5, 8,   1.9, 999.9,   81.3 ,  52.5 , 0.00I,999.9, 000000,
428090,99999, 20070102,   63.2, 8,   52.3, 8, 1016.2, 8, 9999.9, 0,   1.2, 8,   0.8, 8,   2.9, 999.9,   76.1 ,  53.6 , 0.00I,999.9, 000000,
428090,99999, 20070103,   63.8, 7,   51.6, 7, 1015.2, 7, 9999.9, 0,   1.1, 7,   0.8, 7,   2.9, 999.9,   76.8 ,  51.8 , 0.00I,999.9, 000000,
428090,99999, 20070104,   60.6, 8,   48.9, 8, 1015.1, 8, 9999.9, 0,   1.2, 8,   1.4, 8,   6.0, 999.9,   75.2 ,  48.4 , 0.00I,999.9, 000000,
428090,99999, 20070105,   60.3, 8,   52.1, 8, 1016.0, 8, 9999.9, 0,   0.9, 8,   1.4, 8,   5.1, 999.9,   73.0 ,  49.6 , 0.00I,999.9, 100000,
428090,99999, 20070106,   61.7, 8,   52.7, 8, 1017.5, 8, 9999.9, 0,   1.1, 8,   0.8, 8,   1.9, 999.9,   74.8 ,  50.5 , 0.00I,999.9, 000000,
428090,99999, 20070107,   62.4, 8,   53.9, 8, 1016.4, 8, 9999.9, 0,   1.0, 8,   1.2, 8,   4.1, 999.9,   77.7 ,  52.7 , 0.00I,999.9, 000000,
428090,99999, 20070108,   62.9, 8,   51.6, 8, 1017.2, 8, 9999.9, 0,   1.2, 8,   1.0, 8,   5.1, 999.9,   77.7 ,  50.7 , 0.00I,999.9, 000000,
428090,99999, 20070109,   62.2, 8,   50.4, 8, 1017.6, 8, 9999.9, 0,   1.1, 8,   1.0, 8,   4.1, 999.9,   75.9*,  49.8 , 0.00I,999.9, 000000,
428090,99999, 20070110,   62.3, 8,   50.4, 8, 1017.1, 8, 9999.9, 0,   1.0, 8,   0.8, 8,   2.9, 999.9,   78.3 ,  50.0 , 0.00I,999.9, 000000,
428090,99999, 20070111,   63.1, 8,   49.0, 8, 1016.3, 8, 9999.9, 0,   1.1, 8,   0.7, 8,   2.9, 999.9,   78.8 ,  49.5 , 0.00I,999.9, 000000,
428090,99999, 20070112,   64.9, 8,   52.0, 8, 1016.3, 8, 9999.9, 0,   1.2, 8,   0.4, 8,   1.9, 999.9,   79.5 ,  51.8 , 0.00I,999.9, 000000,
428090,99999, 20070113,   67.4, 8,   57.4, 8, 1015.5, 8, 9999.9, 0,   1.0, 8,   0.5, 8,   1.9, 999.9,   80.6 ,  54.7 , 0.00I,999.9, 100000,
428090,99999, 20070114,   63.7, 8,   49.8, 8, 1015.8, 8, 9999.9, 0,   1.2, 8,   0.4, 8,   1.0, 999.9,   75.0 ,  55.8*, 0.00I,999.9, 000000,
428090,99999, 20070115,   62.3, 8,   48.9, 8, 1015.4, 8, 9999.9, 0,   1.2, 8,   0.6, 8,   1.9, 999.9,   75.2 ,  52.9 , 0.00I,999.9, 000000,
428090,99999, 20070116,   63.6, 8,   53.1, 8, 1015.4, 8, 9999.9, 0,   1.2, 8,   0.5, 8,   1.9, 999.9,   74.5 ,  52.3 , 0.08E,999.9, 010000,
428090,99999, 20070117,   63.8, 8,   54.6, 8, 1017.0, 8, 9999.9, 0,   1.0, 8,   0.4, 8,   1.0, 999.9,   75.2 ,  55.4*, 0.00I,999.9, 100000,
428090,99999, 20070118,   62.8, 8,   52.7, 8, 1017.1, 8, 9999.9, 0,   1.0, 8,   0.4, 8,   1.9, 999.9,   77.0 ,  52.0 , 0.00I,999.9, 000000,
428090,99999, 20070119,   63.2, 8,   51.2, 8, 1015.4, 8, 9999.9, 0,   1.1, 8,   0.7, 8,   2.9, 999.9,   77.7 ,  51.1 , 0.00I,999.9, 000000,
428090,99999, 20070120,   66.5, 8,   51.0, 8, 1015.2, 8, 9999.9, 0,   1.2, 8,   0.4, 8,   1.9, 999.9,   82.4 ,  54.3 , 0.00I,999.9, 000000,
428090,99999, 20070121,   67.5, 8,   52.1, 8, 1015.2, 8, 9999.9, 0,   1.2, 8,   0.8, 8,   2.9, 999.9,   84.2 ,  52.9 , 0.00I,999.9, 000000,
428090,99999, 20070122,   68.9, 8,   54.6, 8, 1016.8, 8, 9999.9, 0,   1.2, 8,   1.0, 8,   1.9, 999.9,   79.9 ,  57.9 , 0.00I,999.9, 000000,
428090,99999, 20070123,   64.5, 8,   50.2, 8, 1018.6, 8, 9999.9, 0,   1.2, 8,   1.6, 8,   2.9, 999.9,   77.4 ,  56.3 , 0.00I,999.9, 000000,
428090,99999, 20070124,   63.9, 8,   54.5, 8, 1017.6, 8, 9999.9, 0,   1.2, 8,   1.2, 8,   4.1, 999.9,   77.2 ,  52.2 , 0.00I,999.9, 000000,
428090,99999, 20070125,   64.2, 8,   53.7, 8, 1016.1, 8, 9999.9, 0,   0.9, 8,   0.7, 8,   1.9, 999.9,   79.3 ,  54.7 , 0.00I,999.9, 000000,
428090,99999, 20070126,   65.5, 7,   56.2, 7, 1015.8, 7, 9999.9, 0,   1.1, 7,   0.0, 7, 999.9, 999.9,   82.0 ,  54.5 , 0.00I,999.9, 000000,
428090,99999, 20070127,   69.2, 8,   59.2, 8, 1016.6, 8, 9999.9, 0,   0.9, 8,   0.1, 8,   1.0, 999.9,   85.6 ,  54.9 , 0.00I,999.9, 000000,
428090,99999, 20070128,   69.9, 8,   61.4, 8, 1016.8, 8, 9999.9, 0,   0.8, 8,   0.2, 8,   1.9, 999.9,   86.0 ,  59.4 , 0.00I,999.9, 100000,
428090,99999, 20070129,   71.1, 8,   62.8, 8, 1015.6, 8, 9999.9, 0,   0.8, 8,   0.5, 8,   1.9, 999.9,   86.0 ,  58.8 , 0.00I,999.9, 100000,
428090,99999, 20070130,   73.4, 8,   62.2, 8, 1015.8, 8, 9999.9, 0,   0.9, 8,   0.4, 8,   1.9, 999.9,   88.2 ,  63.9 , 0.00I,999.9, 100000,
428090,99999, 20070131,   74.0, 8,   65.8, 8, 1015.5, 8, 9999.9, 0,   1.0, 8,   0.2, 8,   1.9, 999.9,   87.4 ,  61.9 , 0.00E,999.9, 110000,
428090,99999, 20070201,   73.5, 8,   62.8, 8, 1015.9, 8, 9999.9, 0,   1.0, 8,   0.2, 8,   1.9, 999.9,   86.5 ,  63.7 , 0.00I,999.9, 000000,
428090,99999, 20070202,   72.2, 8,   67.8, 8, 1016.6, 8, 9999.9, 0,   0.9, 8,   0.5, 8,   1.9, 999.9,   82.4 ,  64.6 , 0.00I,999.9, 100000,
428090,99999, 20070203,   74.9, 8,   68.7, 8, 1015.0, 7, 9999.9, 0,   1.0, 8,   2.1, 8,   4.1, 999.9,   84.6 ,  68.2 , 0.00I,999.9, 100000,
428090,99999, 20070204,   76.6, 8,   67.6, 8, 1011.5, 8, 9999.9, 0,   1.7, 8,   2.6, 8,   4.1, 999.9,   88.2 ,  70.2*, 0.24E,999.9, 000010,
428090,99999, 20070205,   75.4, 8,   65.5, 8, 1011.6, 8, 9999.9, 0,   1.6, 8,   1.4, 8,   4.1, 999.9,   85.8 ,  65.5 , 0.00I,999.9, 000000,
428090,99999, 20070206,   73.2, 8,   67.7, 8, 1012.6, 8, 9999.9, 0,   0.9, 8,   0.8, 8,   1.9, 999.9,   83.1 ,  65.7 , 0.00I,999.9, 100000,
428090,99999, 20070207,   73.6, 8,   66.7, 8, 1013.6, 8, 9999.9, 0,   1.3, 8,   3.0, 8,   5.1, 999.9,   86.0 ,  64.8*, 0.00E,999.9, 010010,
428090,99999, 20070208,   70.5, 8,   65.7, 8, 1015.6, 8, 9999.9, 0,   1.2, 8,   1.7, 8,   2.9, 999.9,   82.6 ,  63.0 , 0.28G,999.9, 000010,
428090,99999, 20070209,   70.8, 8,   66.4, 8, 1017.2, 8, 9999.9, 0,   1.2, 8,   1.0, 8,   2.9, 999.9,   77.9 ,  65.3 , 0.67G,999.9, 000000,
428090,99999, 20070210,   73.4, 8,   65.7, 8, 1015.5, 8, 9999.9, 0,   1.2, 8,   1.0, 8,   2.9, 999.9,   83.5 ,  64.4 , 0.00G,999.9, 000000,
428090,99999, 20070211,   74.3, 8,   65.1, 8, 1014.9, 8, 9999.9, 0,   1.2, 8,   0.7, 8,   2.9, 999.9,   86.5 ,  63.7 , 0.00I,999.9, 000000,
428090,99999, 20070212,   70.2, 8,   62.7, 8, 1014.3, 8, 9999.9, 0,   1.2, 8,   0.8, 8,   2.9, 999.9,   80.1 ,  61.9 , 0.00I,999.9, 000000,
428090,99999, 20070213,   64.7, 8,   62.2, 8, 1012.8, 8, 9999.9, 0,   1.2, 8,   1.7, 8,   2.9, 999.9,   69.3 ,  63.3*, 0.08G,999.9, 010000,
428090,99999, 20070214,   68.1, 8,   64.1, 8, 1012.4, 8, 9999.9, 0,   1.1, 8,   0.2, 8,   1.0, 999.9,   76.6 ,  62.6 , 0.83G,999.9, 000000,
428090,99999, 20070215,   67.5, 8,   58.4, 8, 1014.2, 8, 9999.9, 0,   1.2, 8,   1.5, 8,   5.1, 999.9,   79.7 ,  58.5 , 0.00G,999.9, 000000,
428090,99999, 20070216,   69.5, 8,   58.0, 8, 1013.1, 8, 9999.9, 0,   1.2, 8,   1.0, 8,   2.9, 999.9,   82.9 ,  56.3 , 0.00I,999.9, 000000,
