country,year,month,pathogen,positive.ages.0.23,positive.ages.24.59
The Gambia,2009,4,C coli or jejuni,1.333333,0
The Gambia,2009,5,C coli or jejuni,5.5,0
The Gambia,2009,6,C coli or jejuni,4,0
The Gambia,2009,7,C coli or jejuni,3.583333,0
The Gambia,2009,8,C coli or jejuni,0,0
The Gambia,2009,9,C coli or jejuni,1.8,0
The Gambia,2009,10,C coli or jejuni,3.1,0
The Gambia,2009,11,C coli or jejuni,3.785714,0
The Gambia,2009,12,C coli or jejuni,0,0
The Gambia,2010,1,C coli or jejuni,4.250874,0
The Gambia,2010,2,C coli or jejuni,0,0
The Gambia,2010,3,C coli or jejuni,2,0
The Gambia,2010,4,C coli or jejuni,1,0
The Gambia,2010,5,C coli or jejuni,0,0
The Gambia,2010,6,C coli or jejuni,4.7,0
The Gambia,2010,7,C coli or jejuni,4.75,0
The Gambia,2010,8,C coli or jejuni,0,0
The Gambia,2010,9,C coli or jejuni,0,0
The Gambia,2010,10,C coli or jejuni,0,0
The Gambia,2010,11,C coli or jejuni,0,0
The Gambia,2010,12,C coli or jejuni,0,0
The Gambia,2007,12,Shigella,6.020202,1.75
The Gambia,2008,1,Shigella,0,0
The Gambia,2008,2,Shigella,7.151515,5
The Gambia,2008,3,Shigella,20.75,2
The Gambia,2008,4,Shigella,6.5,2.2
The Gambia,2008,5,Shigella,12.25055,0
The Gambia,2008,6,Shigella,3.5,0
The Gambia,2008,7,Shigella,17.56277,2.5
The Gambia,2008,8,Shigella,4,0
The Gambia,2008,9,Shigella,10.53333,0
The Gambia,2008,10,Shigella,5.833333,0
The Gambia,2008,11,Shigella,0,0
The Gambia,2008,12,Shigella,2.125,4
The Gambia,2009,1,Shigella,4.425,0
The Gambia,2009,2,Shigella,6.716667,0
The Gambia,2009,3,Shigella,0,0
The Gambia,2009,4,Shigella,5.061538,1
The Gambia,2009,5,Shigella,2.75,0
The Gambia,2009,6,Shigella,1.25,2.333333
The Gambia,2009,7,Shigella,3.75,3.4
The Gambia,2009,8,Shigella,1.5,0
The Gambia,2009,9,Shigella,3.583333,4
The Gambia,2009,10,Shigella,2.822222,2
The Gambia,2009,11,Shigella,0,2
The Gambia,2009,12,Shigella,4.266667,2
The Gambia,2010,1,Shigella,1.307692,0
The Gambia,2010,2,Shigella,3,0
The Gambia,2010,3,Shigella,1.333333,1
The Gambia,2010,4,Shigella,3,1
The Gambia,2010,5,Shigella,5.666667,0
The Gambia,2010,6,Shigella,10.51111,2
The Gambia,2010,7,Shigella,2.25,2
The Gambia,2010,8,Shigella,6.75,0
The Gambia,2010,9,Shigella,3,0
The Gambia,2010,10,Shigella,3,0
The Gambia,2010,11,Shigella,0,0
The Gambia,2010,12,Shigella,1.5,0
The Gambia,2007,12,V cholerae,0,0
The Gambia,2008,1,V cholerae,0,0
The Gambia,2008,2,V cholerae,0,0
The Gambia,2008,3,V cholerae,0,0
The Gambia,2008,4,V cholerae,0,0
The Gambia,2008,5,V cholerae,0,0
The Gambia,2008,6,V cholerae,0,0
The Gambia,2008,7,V cholerae,0,0
The Gambia,2008,8,V cholerae,0,0
The Gambia,2008,9,V cholerae,0,0
The Gambia,2008,10,V cholerae,0,0
The Gambia,2008,11,V cholerae,0,0
The Gambia,2008,12,V cholerae,0,0
The Gambia,2009,1,V cholerae,0,0
The Gambia,2009,2,V cholerae,0,0
The Gambia,2009,3,V cholerae,0,0
The Gambia,2009,4,V cholerae,0,0
The Gambia,2009,5,V cholerae,0,0
The Gambia,2009,6,V cholerae,0,0
The Gambia,2009,7,V cholerae,0,0
The Gambia,2009,8,V cholerae,0,0
The Gambia,2009,9,V cholerae,0,0
The Gambia,2009,10,V cholerae,0,0
The Gambia,2009,11,V cholerae,0,0
The Gambia,2009,12,V cholerae,0,0
The Gambia,2010,1,V cholerae,0,0
The Gambia,2010,2,V cholerae,0,0
The Gambia,2010,3,V cholerae,0,0
The Gambia,2010,4,V cholerae,0,0
The Gambia,2010,5,V cholerae,0,0
The Gambia,2010,6,V cholerae,0,0
The Gambia,2010,7,V cholerae,0,0
The Gambia,2010,8,V cholerae,0,0
The Gambia,2010,9,V cholerae,0,0
The Gambia,2010,10,V cholerae,0,0
The Gambia,2010,11,V cholerae,0,0
The Gambia,2010,12,V cholerae,0,0
The Gambia,2007,12,ETEC ST,6.020202,0
The Gambia,2008,1,ETEC ST,3.727273,4.266667
The Gambia,2008,2,ETEC ST,15.71818,0
The Gambia,2008,3,ETEC ST,0,0
The Gambia,2008,4,ETEC ST,9.7,0
The Gambia,2008,5,ETEC ST,6.804762,14
The Gambia,2008,6,ETEC ST,25.11863,2
The Gambia,2008,7,ETEC ST,26.16955,6.5
The Gambia,2008,8,ETEC ST,12.77778,0
The Gambia,2008,9,ETEC ST,31.10952,5
The Gambia,2008,10,ETEC ST,4.166667,1.285714
The Gambia,2008,11,ETEC ST,0,0
The Gambia,2008,12,ETEC ST,2,0
The Gambia,2009,1,ETEC ST,1.428571,2
The Gambia,2009,2,ETEC ST,0,0
The Gambia,2009,3,ETEC ST,1.466667,2.7
The Gambia,2009,4,ETEC ST,2.530769,0
The Gambia,2009,5,ETEC ST,1.5,0
The Gambia,2009,6,ETEC ST,5.25,1
The Gambia,2009,7,ETEC ST,6.816667,1.4
The Gambia,2009,8,ETEC ST,10.09524,1
The Gambia,2009,9,ETEC ST,3.6,0
The Gambia,2009,10,ETEC ST,0,0
The Gambia,2009,11,ETEC ST,0,0
The Gambia,2009,12,ETEC ST,1,0
The Gambia,2010,1,ETEC ST,1.5,0
The Gambia,2010,2,ETEC ST,0,0
The Gambia,2010,3,ETEC ST,0,0
The Gambia,2010,4,ETEC ST,0,0
The Gambia,2010,5,ETEC ST,0,0
The Gambia,2010,6,ETEC ST,2.7,6
The Gambia,2010,7,ETEC ST,12.85,3
The Gambia,2010,8,ETEC ST,11.04167,0
The Gambia,2010,9,ETEC ST,0,0
The Gambia,2010,10,ETEC ST,0,0
The Gambia,2010,11,ETEC ST,0,0
The Gambia,2010,12,ETEC ST,0,0
The Gambia,2007,12,tEPEC,0,0
The Gambia,2008,1,tEPEC,14.12727,0
The Gambia,2008,2,tEPEC,5.666667,0
The Gambia,2008,3,tEPEC,17.20833,0
The Gambia,2008,4,tEPEC,10.5,7.4
The Gambia,2008,5,tEPEC,3.85,0
The Gambia,2008,6,tEPEC,6.432692,0
The Gambia,2008,7,tEPEC,3.090909,0
The Gambia,2008,8,tEPEC,2.666667,0
The Gambia,2008,9,tEPEC,0,0
The Gambia,2008,10,tEPEC,0,0
The Gambia,2008,11,tEPEC,0,0
The Gambia,2008,12,tEPEC,1.125,0
The Gambia,2009,1,tEPEC,0,0
The Gambia,2009,2,tEPEC,3.466667,3.222222
The Gambia,2009,3,tEPEC,1.466667,0
The Gambia,2009,4,tEPEC,0,2
The Gambia,2009,5,tEPEC,2.75,1.5
The Gambia,2009,6,tEPEC,5.666667,1.333333
The Gambia,2009,7,tEPEC,16.93636,1.4
The Gambia,2009,8,tEPEC,13.95238,0
The Gambia,2009,9,tEPEC,2.333333,0
The Gambia,2009,10,tEPEC,3.933333,1
The Gambia,2009,11,tEPEC,3.571429,0
The Gambia,2009,12,tEPEC,0,0
The Gambia,2010,1,tEPEC,2.807692,0
The Gambia,2010,2,tEPEC,6.657143,1.666667
The Gambia,2010,3,tEPEC,2,2
The Gambia,2010,4,tEPEC,0,0
The Gambia,2010,5,tEPEC,5.333333,0
The Gambia,2010,6,tEPEC,7.4,2
The Gambia,2010,7,tEPEC,3.785714,0
The Gambia,2010,8,tEPEC,7.708333,0
The Gambia,2010,9,tEPEC,5,0
The Gambia,2010,10,tEPEC,0,0
The Gambia,2010,11,tEPEC,0,0
The Gambia,2010,12,tEPEC,2.5,0
The Gambia,2007,12,EAEC,13.4359,1.75
The Gambia,2008,1,EAEC,45.67483,1.25
The Gambia,2008,2,EAEC,18.93333,0
The Gambia,2008,3,EAEC,17.29167,1
The Gambia,2008,4,EAEC,15.3,0
The Gambia,2008,5,EAEC,4.971429,0
The Gambia,2008,6,EAEC,18.1486,2
The Gambia,2008,7,EAEC,24.72944,0
The Gambia,2008,8,EAEC,14,3.5
The Gambia,2008,9,EAEC,28.05238,5
The Gambia,2008,10,EAEC,6.690476,1.285714
The Gambia,2008,11,EAEC,8.869048,3
The Gambia,2008,12,EAEC,4.75,2
The Gambia,2009,1,EAEC,20.30357,0
The Gambia,2009,2,EAEC,62.33889,3.666667
The Gambia,2009,3,EAEC,6.308333,2.7
The Gambia,2009,4,EAEC,9.011538,0
The Gambia,2009,5,EAEC,10.5,1
The Gambia,2009,6,EAEC,13.16667,0
The Gambia,2009,7,EAEC,14.74848,2.8
The Gambia,2009,8,EAEC,2.285714,0
The Gambia,2009,9,EAEC,2.85,0
The Gambia,2009,10,EAEC,11.23333,2
The Gambia,2009,11,EAEC,1.714286,1
The Gambia,2009,12,EAEC,2.933333,0
The Gambia,2010,1,EAEC,17.32168,3
The Gambia,2010,2,EAEC,9.714286,0
The Gambia,2010,3,EAEC,5.333333,0
The Gambia,2010,4,EAEC,10,2
The Gambia,2010,5,EAEC,9.666667,1
The Gambia,2010,6,EAEC,14.73333,2
The Gambia,2010,7,EAEC,19.99286,5
The Gambia,2010,8,EAEC,11.125,4
The Gambia,2010,9,EAEC,0,0
The Gambia,2010,10,EAEC,3,0
The Gambia,2010,11,EAEC,1.666667,0
The Gambia,2010,12,EAEC,4.833333,0
The Gambia,2007,12,Cryptosporidium,0,0
The Gambia,2008,1,Cryptosporidium,1.909091,0
The Gambia,2008,2,Cryptosporidium,0,0
The Gambia,2008,3,Cryptosporidium,0,0
The Gambia,2008,4,Cryptosporidium,1.6,0
The Gambia,2008,5,Cryptosporidium,1.833333,0
The Gambia,2008,6,Cryptosporidium,9.465909,0
The Gambia,2008,7,Cryptosporidium,12.79293,0
The Gambia,2008,8,Cryptosporidium,16.61111,2.5
The Gambia,2008,9,Cryptosporidium,25.88095,0
The Gambia,2008,10,Cryptosporidium,18.90476,0
The Gambia,2008,11,Cryptosporidium,2.666667,0
The Gambia,2008,12,Cryptosporidium,2.75,0
The Gambia,2009,1,Cryptosporidium,0,0
The Gambia,2009,2,Cryptosporidium,0,0
The Gambia,2009,3,Cryptosporidium,0,0
The Gambia,2009,4,Cryptosporidium,0,0
The Gambia,2009,5,Cryptosporidium,0,0
The Gambia,2009,6,Cryptosporidium,2.5,0
The Gambia,2009,7,Cryptosporidium,18.24091,0
The Gambia,2009,8,Cryptosporidium,8.571429,0
The Gambia,2009,9,Cryptosporidium,8.45,2
The Gambia,2009,10,Cryptosporidium,12.05873,0
The Gambia,2009,11,Cryptosporidium,8.285714,0
The Gambia,2009,12,Cryptosporidium,4.266667,0
The Gambia,2010,1,Cryptosporidium,3.636364,0
The Gambia,2010,2,Cryptosporidium,1.857143,0
The Gambia,2010,3,Cryptosporidium,0,0
The Gambia,2010,4,Cryptosporidium,2,0
The Gambia,2010,5,Cryptosporidium,1.333333,0
The Gambia,2010,6,Cryptosporidium,10.10556,3
The Gambia,2010,7,Cryptosporidium,12.52857,0
The Gambia,2010,8,Cryptosporidium,8.083333,0
The Gambia,2010,9,Cryptosporidium,5,0
The Gambia,2010,10,Cryptosporidium,3,0
The Gambia,2010,11,Cryptosporidium,0,0
The Gambia,2010,12,Cryptosporidium,0,0
The Gambia,2007,12,Rotavirus,2.606838,1.75
The Gambia,2008,1,Rotavirus,66.83217,10.3
The Gambia,2008,2,Rotavirus,33.1,0
The Gambia,2008,3,Rotavirus,6.166667,0
The Gambia,2008,4,Rotavirus,5.6,3
The Gambia,2008,5,Rotavirus,12.04103,3.5
The Gambia,2008,6,Rotavirus,29.3022,2
The Gambia,2008,7,Rotavirus,0,0
The Gambia,2008,8,Rotavirus,0,0
The Gambia,2008,9,Rotavirus,0,0
The Gambia,2008,10,Rotavirus,0,0
The Gambia,2008,11,Rotavirus,0,0
The Gambia,2008,12,Rotavirus,0,0
The Gambia,2009,1,Rotavirus,32.90714,0
The Gambia,2009,2,Rotavirus,64.12222,9.111111
The Gambia,2009,3,Rotavirus,31.95577,3
The Gambia,2009,4,Rotavirus,4.05,0
The Gambia,2009,5,Rotavirus,0,0
The Gambia,2009,6,Rotavirus,0,0
The Gambia,2009,7,Rotavirus,0,0
The Gambia,2009,8,Rotavirus,0,0
The Gambia,2009,9,Rotavirus,0,0
The Gambia,2009,10,Rotavirus,0,0
The Gambia,2009,11,Rotavirus,0,0
The Gambia,2009,12,Rotavirus,3.2,0
The Gambia,2010,1,Rotavirus,36.58479,4
The Gambia,2010,2,Rotavirus,46.14286,3.166667
The Gambia,2010,3,Rotavirus,6.666667,0
The Gambia,2010,4,Rotavirus,4,0
The Gambia,2010,5,Rotavirus,8,0
The Gambia,2010,6,Rotavirus,2.95,5
The Gambia,2010,7,Rotavirus,1.75,0
The Gambia,2010,8,Rotavirus,0,0
The Gambia,2010,9,Rotavirus,0,0
The Gambia,2010,10,Rotavirus,0,0
The Gambia,2010,11,Rotavirus,1.5,0
The Gambia,2010,12,Rotavirus,3,0
The Gambia,2007,12,Norovirus GI,0,0
The Gambia,2008,1,Norovirus GI,0,2.6
The Gambia,2008,2,Norovirus GI,0,0
The Gambia,2008,3,Norovirus GI,0,0
The Gambia,2008,4,Norovirus GI,6.5,2.2
The Gambia,2008,5,Norovirus GI,4.821429,0
The Gambia,2008,6,Norovirus GI,0,0
The Gambia,2008,7,Norovirus GI,5.055556,4
The Gambia,2008,8,Norovirus GI,16.5,4
The Gambia,2008,9,Norovirus GI,0,0
The Gambia,2008,10,Norovirus GI,1.333333,1.285714
The Gambia,2008,11,Norovirus GI,0,6.666667
The Gambia,2008,12,Norovirus GI,1,0
The Gambia,2009,1,Norovirus GI,0,0
The Gambia,2009,2,Norovirus GI,0,1.222222
The Gambia,2009,3,Norovirus GI,0,0
The Gambia,2009,4,Norovirus GI,0,0
The Gambia,2009,5,Norovirus GI,0,0
The Gambia,2009,6,Norovirus GI,2.333333,1.333333
The Gambia,2009,7,Norovirus GI,0,0
The Gambia,2009,8,Norovirus GI,2.285714,1.5
The Gambia,2009,9,Norovirus GI,0,0
The Gambia,2009,10,Norovirus GI,0,0
The Gambia,2009,11,Norovirus GI,0,0
The Gambia,2009,12,Norovirus GI,0,0
